StateCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,1083,1083,1083,1083,1230,1374,1494,1643,1899,2073,2359,2539,2743,3041,3999,6220,7470,7544,9130,10891,15282,21824,23461,22591,23787,26142,19181,22925,21270,23453,25040,22283,22753,23284,23605,25449,26737,25810.8,24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53301.5,54899.6,54728.2,50475.2,57349.4
AL,7343,7343,7343,7343,8220,8994,9847,10053,10977,11866,12475,13624,15356,17428,19454,21346,24324,26725,30546,33712,36142,40257,41778,45679,50010,53824,56134,60752,66008,68394,71610,76043,81260,84563,90098,95819,100146,104811.9,110212,115680.1,119851.7,122915.5,127505,134152.6,147715.2,158846.8,166469,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,214606.3,223859.3,231561.9,230892.1,254109.7
AR,3791,3791,3791,3791,4148,4446,4868,5132,5704,6232,6667,7440,8494,9886,10865,11942,13704,15182,17477,19099,20276,22891,23527,25292,28465,29326,30799,32664,35004,37128,38680,41572,45018,47566,51416,54612,57976,59846.3,62396.7,66811.3,68678.5,70616.7,74113.9,78695.1,85199.6,90887.7,95875.1,98381.6,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122466.7,127535.7,131578.3,133969.1,148676.1
AZ,4482,4482,4482,4482,4817,5028,5527,5783,6593,7563,8569,9649,11292,13330,14611,15284,16970,19609,23279,27495,30764,34269,35794,39774,46135,50709,55881,60047,64945,67895,70632,73358,82682,89300,100374,109906,119530,132281,143302.6,155755.8,165110.7,171909.6,180522.3,193634.9,206541.1,227915.9,245957,261392,262926,246424.3,251153,260915.7,271440,278591.6,287666.6,299393.3,313081.4,332001.8,351879.5,372393.5,382072.3,420026.7
CA,67809,67809,67809,67809,73513,78253,84627,89571,98721,106629,111985,120372,133143,147231,161815,178394,197347,229592,262803,293491,327958,368808,393788,426143,482166,523906,563082,615359,671575,722979,773460,790046,807358,826447,861360,911577,964186,1071117,1147520.4,1241899.7,1356975.4,1375761.3,1418429.6,1497918.7,1588177.4,1698560.4,1812210,1898902,1944695.3,1890165.9,1954092.7,2023500,2113096.4,2220389.9,2335286.5,2473555.9,2569634,2728743.1,2897200.7,3042694.1,3020173.4,3373240.7
CO,5925,5925,5925,5925,6228,6631,7275,7666,8540,9480,10431,11998,13784,16120,17852,20166,22253,25428,29398,33785,38332,43974,47654,50718,56230,59641,60970,63920,67757,71179,75571,79766,87302,95659,104507,112708,121081,136898.7,150330,163763.3,180063.2,186695.8,190019,196126.5,204167.2,220783.7,232646.7,248446.5,258871.7,251227.7,258300.2,267516.1,276823.1,292140.5,309542.6,320721.1,329911.7,349156.5,372212.1,394534.7,391263.3,436359.5
CT,9877,9877,9877,9877,10551,11456,12812,13595,14303,15627,16347,17129,18799,20808,22502,23976,26233,29598,33231,36855,40770,45642,50196,55528,63618,69231,75305,82984,90707,95831,100169,101475,105759,107680,113115,123212,129111,138331.8,145475.5,152287.5,165614.3,171216.6,173248.3,178702.2,195354.9,205214.6,219768.4,234540.7,238936.8,233290.7,234700,233158.7,240911.9,241517.4,246597,259487.8,263670.3,271443.2,279923,288536.3,276223.3,298395.2
DC,5137,5137,5137,5137,5553,6037,6454,7183,7749,8096,8559,9180,9896,10400,11424,12712,13945,15581,16953,18417,19862,21740,22958,24573,26584,28534,30079,32129,35226,37469,39688,41430,43187,45356,46655,47094,47823,52503.6,54815.3,58819.2,61092.9,65442.9,69919.5,73957.1,80140.1,84867.6,88125,93785.4,99496.5,100446,106146.9,109730.4,112157,114540.1,119414.6,124604.7,129648.6,133243.5,139722.5,143990.8,144720,153670.5
DE,1885,1885,1885,1885,2068,2313,2482,2605,2884,3069,3166,3623,3984,4516,4737,5025,5470,6056,6747,7304,7898,8839,9498,10611,11925,13092,14138,15568,16887,18900,19928,21746,22907,23509,25638,27721,29156,33353.4,37106,40345.1,43451.3,46096.1,45508.3,47686.1,51353.7,52153.5,55174.4,56612.8,55459.8,57849.7,58163.5,61372.2,62354.6,61716.2,68354.7,71913.9,69355,68302.5,72168.3,76923.7,75818.6,81160
FL,14684,14684,14684,14684,16025,17445,19182,21123,23793,27427,30691,34161,39709,46973,52123,55288,58729,65272,75681,86263,97899,112167,122282,136768,155993,170894,185852,204816,224848,241633,256589,267669,284673,304403,327167,346951,370912,401535.3,429138.4,458058.9,490429.8,519058.6,553010.3,590483.1,646630.6,705851.9,750523.8,782712.5,763341.5,735421,746928.9,755240,778545,811751.7,851692.4,908519.9,953352.5,1003144,1057255.4,1111392.2,1116726.8,1255558.3
